搬送開始時刻,搬送完了時刻,要支援者ID,避難所ID,車両ID,搬送回数
180.16,219.05,66,1,1,1
172.08,227.22,23,1,9,1
172.08,227.22,28,1,9,1
209.26,227.22,42,1,9,1
161.91,236.97,34,1,4,1
215.14,302.63,58,1,8,1
191.25,311.93,31,1,2,1
215.87,311.93,32,1,2,1
220.89,468.69,26,1,3,1
300.02,468.69,30,1,3,1
367.68,468.69,36,1,3,1
418.54,468.69,40,1,3,1
139.37,501.29,46,1,7,1
226.78,501.29,55,1,7,1
349.69,501.29,181,1,7,1
168.84,539.88,64,1,0,1
180.58,539.88,71,1,0,1
360.23,539.88,174,1,0,1
360.23,539.88,177,1,0,1
167.52,651.04,45,1,5,1
389.35,651.04,176,1,5,1
745.8,841.64,124,2,9,2
818.18,841.64,127,2,9,2
833.0,841.64,128,2,9,2
763.22,901.49,125,2,8,2
178.92,943.67,27,1,6,1
253.01,943.67,33,1,6,1
378.99,943.67,47,1,6,1
663.12,943.67,56,1,6,1
1111.48,1219.66,131,2,7,2
839.23,1280.7,162,3,1,2
928.93,1280.7,167,3,1,2
1079.39,1280.7,178,3,1,2
951.28,1344.91,112,2,2,2
1136.25,1344.91,126,2,2,2
1249.23,1344.91,132,2,2,2
1138.22,1448.51,118,2,3,2
1263.74,1448.51,122,2,3,2
1310.42,1448.51,130,2,3,2
1287.1,1645.78,141,2,0,2
1364.67,1694.0,137,2,5,2
1443.5,1694.0,140,2,5,2
834.35,1776.71,116,2,4,2
892.08,1776.71,129,2,4,2
979.07,1776.71,133,2,4,2
1042.64,1776.71,134,2,4,2
1361.88,1776.71,136,2,4,2
1476.17,1776.71,138,2,4,2
1695.78,1799.45,155,3,9,3
1440.59,2100.49,123,2,6,2
1776.18,2100.49,135,2,6,2
1876.12,2100.49,139,2,6,2
1982.9,2267.9,99,6,1,3
2106.07,2267.9,222,6,1,3
2075.84,2439.88,144,3,7,3
2182.05,2439.88,146,3,7,3
2336.7,2439.88,161,3,7,3
2237.74,2450.55,149,3,2,3
2299.93,2450.55,151,3,2,3
1985.01,2515.62,188,4,8,3
2289.79,2515.62,193,4,8,3
2536.29,2647.12,217,5,9,4
2497.87,2848.83,147,3,5,3
2598.0,2848.83,157,3,5,3
2683.91,2848.83,158,3,5,3
2795.23,2848.83,165,3,5,3
2966.01,3065.53,153,3,6,3
2861.81,3108.03,187,4,0,3
2596.2,3112.65,143,3,4,3
2636.89,3112.65,163,3,4,3
2730.74,3112.65,166,3,4,3
2841.08,3112.65,168,3,4,3
2985.57,3112.65,182,3,4,3
2340.9,3353.21,142,3,3,3
2376.88,3353.21,148,3,3,3
2517.73,3353.21,150,3,3,3
2734.89,3353.21,156,3,3,3
2998.67,3353.21,159,3,3,3
3151.89,3353.21,160,3,3,3
3261.85,3422.86,195,4,7,4
3521.6,3715.71,186,4,2,4
3573.33,3719.09,219,6,9,5
3565.67,3794.15,117,6,8,4
3802.1,3867.74,277,7,1,4
3885.84,3955.15,215,5,4,4
4175.76,4175.76,201,5,0,4
4218.39,4443.89,190,4,6,4
3580.72,4465.38,183,4,5,4
3580.72,4465.38,184,4,5,4
4055.99,4465.38,189,4,5,4
4327.5,4465.38,192,4,5,4
4271.62,4609.7,191,4,3,4
4436.18,4609.7,198,4,3,4
4541.0,4886.84,218,6,7,5
4715.59,4886.84,228,6,7,5
4867.28,5094.76,100,8,0,5
4992.02,5094.76,114,8,0,5
5060.31,5134.06,91,8,1,5
5005.23,5215.64,224,6,2,5
5288.3,5388.22,266,7,9,6
5310.06,5388.22,283,7,9,6
5361.27,5388.22,288,7,9,6
5363.37,5398.62,267,7,8,5
5473.7,5520.62,269,7,4,5
5434.46,5522.83,209,5,6,5
5493.11,5577.31,214,5,5,5
5578.44,5711.53,102,6,3,5
5621.88,5937.31,84,8,7,6
5705.31,5937.31,85,8,7,6
5769.43,5937.31,98,8,7,6
5824.61,5937.31,101,8,7,6
5734.57,6033.24,145,9,0,6
5883.91,6033.24,194,9,0,6
6489.49,6648.47,104,8,3,6
6549.84,6648.47,115,8,3,6
6604.02,6685.22,244,11,1,6
6689.97,6761.59,96,8,8,6
6696.48,6761.59,110,8,8,6
6580.79,6775.78,88,8,9,7
6699.62,6775.78,93,8,9,7
6810.99,6873.66,265,7,2,6
6713.19,7065.61,105,8,4,6
6882.18,7065.61,107,8,4,6
6961.23,7065.61,113,8,4,6
6613.96,7160.62,221,6,5,6
6872.36,7160.62,223,6,5,6
6507.85,7268.28,220,6,6,6
6924.85,7268.28,226,6,6,6
7521.73,7530.49,231,10,9,8
7410.76,7577.46,196,9,3,7
7003.59,7613.66,303,12,7,7
7108.71,7613.66,307,12,7,7
7320.6,7613.66,320,12,7,7
7384.04,7613.66,322,12,7,7
7230.65,7831.09,311,12,0,7
7367.31,7831.09,313,12,0,7
7420.62,7831.09,317,12,0,7
7576.59,7831.09,318,12,0,7
8189.51,8276.07,245,11,8,7
8213.66,8276.07,250,11,8,7
8215.0,8327.98,197,9,6,7
8101.77,8492.46,95,8,2,7
8229.75,8492.46,111,8,2,7
8339.65,8492.46,120,8,2,7
8493.45,8558.03,81,13,7,8
8543.65,8646.78,253,11,4,7
8769.24,8813.78,70,13,0,8
8796.61,8813.78,73,13,0,8
8845.38,8907.47,54,14,7,9
8735.07,8938.75,263,7,5,7
8794.1,8938.75,271,7,5,7
8875.58,8938.75,285,7,5,7
8764.18,9254.52,302,12,3,8
8976.84,9254.52,323,12,3,8
9130.05,9291.55,154,9,2,8
9209.69,9291.55,185,9,2,8
9224.05,9307.7,171,16,0,9
9271.62,9307.7,172,16,0,9
9164.27,9364.97,247,11,9,9
9206.24,9364.97,252,11,9,9
9296.84,9364.97,256,11,9,9
9135.84,9391.08,212,10,6,8
9259.07,9391.08,229,10,6,8
9314.43,9391.08,230,10,6,8
8843.89,9518.72,297,12,1,7
9223.32,9518.72,304,12,1,7
9253.03,9518.72,308,12,1,7
9308.13,9518.72,312,12,1,7
9370.34,9518.72,314,12,1,7
9132.9,9557.2,41,15,7,10
9351.03,9557.2,53,15,7,10
10179.58,10202.57,89,8,5,8
9816.43,10223.52,169,16,7,11
9947.43,10223.52,170,16,7,11
10063.16,10223.52,180,16,7,11
10188.51,10293.89,213,10,2,9
10396.18,10523.63,77,13,1,8
10467.55,10523.63,79,13,1,8
10195.28,10587.14,309,12,8,8
10357.52,10587.14,319,12,8,8
10354.06,10606.76,29,15,3,9
10839.25,10887.94,82,14,1,9
10529.9,10892.13,207,17,0,10
10878.86,10957.07,152,9,5,9
11097.63,11178.83,246,11,6,9
11118.04,11178.83,254,11,6,9
10780.07,11508.89,300,12,4,8
10983.77,11508.89,306,12,4,8
11239.39,11508.89,321,12,4,8
11531.83,11569.83,63,13,8,9
11846.3,11874.1,76,14,8,10
11470.31,11905.56,298,12,9,10
11751.75,11905.56,315,12,9,10
11901.58,11943.34,240,19,3,10
11195.39,12040.76,199,17,7,12
11658.51,12040.76,208,17,7,12
12008.52,12111.65,248,11,2,10
12073.3,12111.65,249,11,2,10
12105.33,12152.85,67,15,8,11
11945.62,12295.4,216,10,5,10
12176.59,12295.4,227,10,5,10
12396.67,12436.69,69,13,4,9
12425.3,12583.19,179,16,8,12
12675.83,12774.31,237,19,0,11
11773.7,12797.55,200,17,1,10
12168.32,12797.55,202,17,1,10
12397.98,12797.55,204,17,1,10
12422.03,12797.55,205,17,1,10
12803.55,12900.78,92,14,4,10
12837.05,12994.9,60,13,9,11
12902.47,12994.9,68,13,9,11
12928.36,12994.9,78,13,9,11
13176.05,13240.2,38,15,4,11
13271.26,13300.97,43,20,3,11
13284.17,13419.7,299,12,6,10
13305.35,13507.42,57,14,9,12
13305.35,13507.42,61,14,9,12
13417.05,13507.42,83,14,9,12
13429.91,13507.42,86,14,9,12
13482.89,13644.53,316,12,5,11
13673.86,14009.45,257,18,7,13
13797.29,14009.45,262,18,7,13
13926.27,14009.45,274,18,7,13
14003.19,14097.06,164,16,9,13
14060.98,14097.06,173,16,9,13
14011.05,14114.76,270,18,8,13
14136.33,14195.03,310,12,2,11
14333.02,14394.57,65,13,6,11
14424.25,14467.5,272,18,1,11
14576.15,14638.55,108,13,5,12
14342.28,14676.99,286,21,3,12
14534.71,14676.99,291,21,3,12
14566.36,14676.99,292,21,3,12
14702.74,14741.92,59,14,6,12
14207.89,14756.58,24,20,0,12
14271.61,14756.58,25,20,0,12
14332.2,14756.58,35,20,0,12
14423.8,14756.58,49,20,0,12
14580.23,14756.58,175,20,0,12
14270.84,15036.94,203,17,4,12
14905.98,15036.94,211,17,4,12
14868.85,15037.92,72,15,5,13
15080.79,15208.53,39,15,6,13
15189.07,15217.39,74,14,2,12
15438.97,15476.85,48,15,2,13
15658.87,15673.77,51,20,4,13
15541.13,15686.52,255,18,9,14
15563.43,15686.52,258,18,9,14
15612.61,15686.52,260,18,9,14
15661.79,15686.52,261,18,9,14
15724.56,15850.97,275,21,0,13
15828.09,16057.98,75,22,3,13
15990.55,16057.98,80,22,3,13
16129.89,16213.72,264,18,5,14
16359.94,16482.66,259,18,6,14
16398.27,16482.66,273,18,6,14
16431.33,16484.94,234,19,7,14
16571.19,16694.84,235,19,8,14
16656.65,16694.84,241,19,8,14
16912.26,17106.09,232,19,1,12
16981.21,17106.09,233,19,1,12
17042.28,17106.09,236,19,1,12
16708.74,17295.56,287,21,4,14
16750.08,17295.56,289,21,4,14
16811.33,17295.56,294,21,4,14
16879.01,17295.56,296,21,4,14
17150.32,17295.56,305,21,4,14
17483.88,17548.68,37,20,5,15
16271.7,17802.57,206,17,2,14
16753.53,17802.57,210,17,2,14
17205.28,17802.57,225,17,2,14
18069.31,18091.44,50,20,8,15
18093.34,18129.12,243,19,9,15
18351.09,18418.52,62,22,4,15
18587.35,18621.83,278,21,5,16
18791.16,18873.78,295,21,7,15
18917.93,19063.78,239,19,6,15
19000.41,19063.78,242,19,6,15
19142.43,19233.01,279,21,8,16
19264.76,19389.85,276,21,1,13
19460.1,19494.61,44,20,9,16
19469.33,19494.61,52,20,9,16
19663.08,19867.26,238,19,2,15
19792.71,19867.26,251,19,2,15
19811.46,19908.87,106,22,5,17
20050.16,20160.05,90,22,7,16
20090.7,20160.05,97,22,7,16
20395.3,20465.38,103,22,8,17
20563.69,20636.18,280,21,9,17
21273.25,21484.84,281,21,6,16
21338.84,21484.84,282,21,6,16
21441.91,21484.84,293,21,6,16
21798.47,21923.8,87,22,9,18
21876.13,21923.8,109,22,9,18
22143.55,22434.92,284,21,2,16
22260.26,22434.92,290,21,2,16
22353.34,22434.92,301,21,2,16
22742.93,22972.85,119,22,6,17
22828.82,22972.85,121,22,6,17
23586.85,23629.05,94,22,2,17
